#Sp1	#Sp2	#Cor	#type
ESV_2	ESV_220	0.6879	1
ESV_2	ESV_225	0.4457	1
ESV_2	ESV_229	0.4707	1
ESV_2	ESV_230	0.4716	1
ESV_2	ESV_232	0.4675	1
ESV_2	ESV_238	0.5303	1
ESV_2	ESV_243	0.7234	1
ESV_2	ESV_245	0.4933	1
ESV_2	ESV_248	0.5815	1
ESV_2	ESV_251	0.5738	1
ESV_2	ESV_252	0.6515	1
ESV_2	ESV_253	0.6776	1
ESV_2	ESV_255	0.6461	1
ESV_2	ESV_257	0.6721	1
ESV_2	ESV_260	0.6066	1
ESV_2	ESV_261	0.4741	1
ESV_2	ESV_262	0.4591	1
ESV_2	ESV_263	0.7294	1
ESV_2	ESV_265	-0.5699	2
ESV_2	ESV_269	0.7096	1
ESV_2	ESV_272	0.6105	1
ESV_2	ESV_274	0.6411	1
ESV_2	ESV_276	0.5453	1
ESV_2	ESV_277	0.6272	1
ESV_2	ESV_279	-0.4332	2
ESV_2	ESV_286	0.4811	1
ESV_2	ESV_288	0.5301	1
ESV_2	ESV_290	0.4764	1
ESV_2	ESV_291	0.5232	1
ESV_2	ESV_293	0.6038	1
ESV_2	ESV_297	-0.438	2
ESV_2	ESV_299	0.5505	1
ESV_2	ESV_302	-0.4167	2
ESV_2	ESV_303	0.6344	1
ESV_2	ESV_305	0.6428	1
ESV_2	ESV_308	0.5994	1
ESV_2	ESV_309	0.6134	1
ESV_2	ESV_311	0.5432	1
ESV_2	ESV_315	0.5739	1
ESV_2	ESV_319	0.5599	1
ESV_2	ESV_325	0.664	1
ESV_2	ESV_327	0.5252	1
ESV_2	ESV_332	-0.4968	2
ESV_2	ESV_335	0.5274	1
ESV_2	ESV_337	0.4488	1
ESV_2	ESV_338	-0.4724	2
ESV_2	ESV_346	0.4743	1
ESV_2	ESV_347	0.6991	1
ESV_2	ESV_353	-0.5029	2
ESV_2	ESV_359	-0.5217	2
ESV_2	ESV_361	0.4858	1
ESV_2	ESV_363	0.4255	1
ESV_2	ESV_372	0.4799	1
ESV_2	ESV_373	0.6742	1
ESV_2	ESV_378	-0.4476	2
ESV_2	ESV_379	0.5971	1
ESV_2	ESV_381	0.609	1
ESV_2	ESV_382	0.4735	1
ESV_2	ESV_384	0.5534	1
ESV_2	ESV_387	-0.5007	2
ESV_2	ESV_392	0.5048	1
ESV_2	ESV_399	0.6322	1
ESV_2	ESV_404	0.5058	1
ESV_2	ESV_405	0.5658	1
ESV_2	ESV_409	0.4761	1
ESV_2	ESV_411	0.5135	1
ESV_2	ESV_415	-0.4894	2
ESV_2	ESV_421	0.4836	1
ESV_2	ESV_428	0.5491	1
ESV_2	ESV_432	0.6517	1
ESV_2	ESV_434	0.6383	1
ESV_2	ESV_438	0.7192	1
ESV_2	ESV_441	0.4327	1
ESV_2	ESV_451	0.4564	1
ESV_2	ESV_452	-0.4135	2
ESV_2	ESV_457	0.5953	1
ESV_2	ESV_459	0.5806	1
ESV_2	ESV_461	0.4714	1
ESV_2	ESV_463	0.6357	1
ESV_2	ESV_468	0.5708	1
ESV_2	ESV_476	-0.5061	2
ESV_2	ESV_479	-0.519	2
ESV_2	ESV_481	0.5796	1
ESV_2	ESV_485	-0.5056	2
ESV_2	ESV_490	-0.4607	2
ESV_2	ESV_495	-0.445	2
ESV_2	ESV_498	-0.5324	2
ESV_2	ESV_504	0.4269	1
ESV_2	ESV_505	0.5588	1
ESV_2	ESV_510	0.4657	1
ESV_2	ESV_513	0.4244	1
ESV_2	ESV_516	0.5573	1
ESV_2	ESV_519	0.4549	1
ESV_2	ESV_521	0.5064	1
ESV_2	ESV_524	0.6494	1
ESV_2	ESV_531	0.5018	1
ESV_2	ESV_532	0.5792	1
ESV_2	ESV_538	0.4483	1
ESV_2	ESV_539	0.4618	1
ESV_2	ESV_549	-0.5476	2
ESV_2	ESV_551	-0.4551	2
ESV_2	ESV_553	0.6286	1
ESV_2	ESV_554	0.5273	1
ESV_2	ESV_561	0.4913	1
ESV_2	ESV_569	0.5341	1
ESV_2	ESV_571	0.5049	1
ESV_2	ESV_573	0.5579	1
ESV_2	ESV_582	0.6863	1
ESV_2	ESV_599	0.5687	1
ESV_2	ESV_604	-0.4414	2
ESV_2	ESV_605	0.5046	1
ESV_2	ESV_615	0.527	1
ESV_2	ESV_616	0.5008	1
ESV_2	ESV_617	0.4831	1
ESV_2	ESV_626	-0.4313	2
ESV_2	ESV_631	0.5954	1
ESV_2	ESV_634	0.4696	1
ESV_2	ESV_637	0.4746	1
ESV_2	ESV_638	0.5524	1
ESV_2	ESV_650	0.4689	1
ESV_2	ESV_660	0.5779	1
